order_id,promised_date,delivered_date,delivery_status
138,2022-10-11,2022-10-11,On-Time
139,2022-05-26,2022-05-26,On-Time
140,2024-10-21,2024-10-23,Delayed
141,2024-12-25,2024-12-25,On-Time
142,2025-02-22,2025-02-23,Delayed
143,2022-05-18,2022-05-18,On-Time
144,2025-10-27,2025-10-27,On-Time
145,2025-10-20,2025-10-21,Delayed
146,2022-10-03,2022-10-04,Delayed
147,2023-04-10,2023-04-12,Delayed
148,2024-08-11,2024-08-11,On-Time
149,2025-06-09,2025-06-11,Delayed
150,2024-09-09,2024-09-09,On-Time
151,2024-10-17,2024-10-19,Delayed
152,2022-07-24,2022-07-26,Delayed
153,2024-11-18,2024-11-19,Delayed
154,2022-12-03,2022-12-04,Delayed
155,2023-09-11,2023-09-12,Delayed
156,2023-10-12,2023-10-12,On-Time
157,2023-10-07,2023-10-07,On-Time
158,2024-10-20,2024-10-20,On-Time
159,2023-12-29,2023-12-30,Delayed
160,2022-12-16,2022-12-17,Delayed
161,2025-06-08,2025-06-09,Delayed
162,2025-12-28,2025-12-28,On-Time
163,2024-08-25,2024-08-25,On-Time
164,2025-12-18,2025-12-20,Delayed
165,2024-12-31,2025-01-01,Delayed
166,2022-04-21,2022-04-21,On-Time
167,2024-12-08,2024-12-08,On-Time
168,2024-11-03,2024-11-04,Delayed
169,2024-05-12,2024-05-13,Delayed
170,2024-04-13,2024-04-13,On-Time
171,2022-04-09,2022-04-10,Delayed
172,2022-09-29,2022-09-30,Delayed
173,2025-10-15,2025-10-16,Delayed
174,2022-03-01,2022-03-01,On-Time
175,2022-11-11,2022-11-12,Delayed
176,2023-11-27,2023-11-28,Delayed
177,2022-09-30,2022-09-30,On-Time
178,2025-08-21,2025-08-23,Delayed
179,2025-02-27,2025-02-28,Delayed
180,2024-12-31,2025-01-01,Delayed
181,2024-11-19,2024-11-20,Delayed
182,2023-07-25,2023-07-25,On-Time
183,2024-04-03,2024-04-04,Delayed
184,2022-11-15,2022-11-15,On-Time
185,2024-04-17,2024-04-18,Delayed
186,2025-06-01,2025-06-01,On-Time
187,2025-05-03,2025-05-03,On-Time
188,2025-04-18,2025-04-19,Delayed
189,2022-10-16,2022-10-18,Delayed
190,2022-02-08,2022-02-10,Delayed
191,2022-05-15,2022-05-17,Delayed
192,2022-04-19,2022-04-19,On-Time
193,2025-01-17,2025-01-19,Delayed
194,2023-11-27,2023-11-28,Delayed
195,2024-10-24,2024-10-24,On-Time
196,2023-10-30,2023-10-31,Delayed
197,2023-10-01,2023-10-01,On-Time
198,2025-02-16,2025-02-17,Delayed
199,2024-08-09,2024-08-10,Delayed
200,2025-03-08,2025-03-08,On-Time
201,2023-06-30,2023-07-01,Delayed
202,2025-07-24,2025-07-25,Delayed
203,2025-11-25,2025-11-25,On-Time
204,2024-12-17,2024-12-19,Delayed
205,2025-10-14,2025-10-15,Delayed
206,2022-09-10,2022-09-11,Delayed
207,2024-07-08,2024-07-08,On-Time
208,2024-04-09,2024-04-10,Delayed
209,2022-04-23,2022-04-24,Delayed
210,2023-06-23,2023-06-25,Delayed
211,2025-12-19,2025-12-19,On-Time
212,2024-10-04,2024-10-04,On-Time
213,2023-07-31,2023-08-01,Delayed
214,2025-04-21,2025-04-22,Delayed
215,2025-01-25,2025-01-25,On-Time
216,2024-06-07,2024-06-07,On-Time
217,2024-12-06,2024-12-08,Delayed
218,2025-12-30,2025-12-31,Delayed
219,2023-10-18,2023-10-19,Delayed
220,2023-11-12,2023-11-13,Delayed
221,2023-07-09,2023-07-11,Delayed
222,2023-10-21,2023-10-23,Delayed
223,2025-10-19,2025-10-20,Delayed
224,2022-11-19,2022-11-21,Delayed
225,2022-11-11,2022-11-13,Delayed
226,2022-12-05,2022-12-05,On-Time
227,2022-06-07,2022-06-09,Delayed
228,2022-01-10,2022-01-12,Delayed
229,2025-02-05,2025-02-06,Delayed
230,2023-03-10,2023-03-11,Delayed
231,2024-04-17,2024-04-18,Delayed
232,2025-11-21,2025-11-21,On-Time
233,2022-10-05,2022-10-06,Delayed
234,2022-11-06,2022-11-08,Delayed
235,2022-06-25,2022-06-25,On-Time
236,2022-01-06,2022-01-07,Delayed
237,2024-01-28,2024-01-30,Delayed
238,2024-10-12,2024-10-13,Delayed
239,2022-05-29,2022-05-31,Delayed
240,2024-12-27,2024-12-28,Delayed
241,2023-06-05,2023-06-05,On-Time
242,2022-09-03,2022-09-04,Delayed
243,2023-09-30,2023-10-02,Delayed
244,2022-11-25,2022-11-25,On-Time
245,2022-12-04,2022-12-05,Delayed
246,2025-07-13,2025-07-14,Delayed
247,2022-02-20,2022-02-22,Delayed
248,2025-10-09,2025-10-09,On-Time
249,2025-11-18,2025-11-18,On-Time
250,2025-02-05,2025-02-05,On-Time
251,2025-05-07,2025-05-07,On-Time
252,2022-10-19,2022-10-19,On-Time
253,2022-05-10,2022-05-12,Delayed
254,2025-10-10,2025-10-10,On-Time
255,2025-08-17,2025-08-17,On-Time
256,2025-12-06,2025-12-08,Delayed
257,2024-04-13,2024-04-13,On-Time
258,2022-06-12,2022-06-12,On-Time
259,2025-12-18,2025-12-18,On-Time
260,2024-06-22,2024-06-22,On-Time
261,2023-02-11,2023-02-12,Delayed
262,2022-10-05,2022-10-05,On-Time
263,2023-04-20,2023-04-20,On-Time
264,2024-01-08,2024-01-09,Delayed
265,2025-08-11,2025-08-12,Delayed
266,2022-04-02,2022-04-03,Delayed
267,2022-09-12,2022-09-12,On-Time
268,2024-12-21,2024-12-22,Delayed
269,2024-08-03,2024-08-04,Delayed
270,2023-12-12,2023-12-13,Delayed
271,2023-11-29,2023-11-30,Delayed
272,2025-10-31,2025-10-31,On-Time
273,2024-07-08,2024-07-09,Delayed
274,2022-04-10,2022-04-10,On-Time
275,2025-11-15,2025-11-16,Delayed
276,2025-06-22,2025-06-22,On-Time
277,2023-08-20,2023-08-22,Delayed
278,2022-11-06,2022-11-07,Delayed
279,2022-06-29,2022-06-30,Delayed
280,2024-08-11,2024-08-11,On-Time
281,2024-09-13,2024-09-13,On-Time
282,2023-07-27,2023-07-29,Delayed
283,2024-12-15,2024-12-15,On-Time
284,2023-11-09,2023-11-11,Delayed
285,2022-01-18,2022-01-18,On-Time
286,2024-03-01,2024-03-02,Delayed
287,2024-09-07,2024-09-07,On-Time
288,2024-10-03,2024-10-03,On-Time
289,2023-01-07,2023-01-08,Delayed
290,2023-12-15,2023-12-17,Delayed
291,2022-12-24,2022-12-24,On-Time
292,2025-07-26,2025-07-27,Delayed
293,2024-08-10,2024-08-10,On-Time
294,2024-12-15,2024-12-17,Delayed
295,2024-03-28,2024-03-30,Delayed
296,2023-03-20,2023-03-20,On-Time
297,2024-02-15,2024-02-16,Delayed
298,2022-07-16,2022-07-16,On-Time
299,2024-07-06,2024-07-08,Delayed
300,2025-12-02,2025-12-02,On-Time
301,2023-10-23,2023-10-25,Delayed
302,2023-11-18,2023-11-18,On-Time
303,2024-12-20,2024-12-21,Delayed
304,2024-11-22,2024-11-22,On-Time
305,2025-04-25,2025-04-25,On-Time
306,2025-10-26,2025-10-27,Delayed
307,2025-12-16,2025-12-16,On-Time
308,2024-03-20,2024-03-20,On-Time
309,2022-11-16,2022-11-16,On-Time
310,2022-07-30,2022-07-30,On-Time
311,2025-08-07,2025-08-08,Delayed
312,2022-10-28,2022-10-28,On-Time
313,2025-11-30,2025-11-30,On-Time
314,2025-07-22,2025-07-24,Delayed
315,2024-01-20,2024-01-20,On-Time
316,2024-11-09,2024-11-09,On-Time
317,2024-07-08,2024-07-09,Delayed
318,2025-01-13,2025-01-13,On-Time
319,2023-08-23,2023-08-23,On-Time
320,2025-09-07,2025-09-07,On-Time
321,2025-04-17,2025-04-19,Delayed
322,2025-12-29,2025-12-30,Delayed
323,2024-06-18,2024-06-20,Delayed
324,2024-12-09,2024-12-09,On-Time
325,2024-10-09,2024-10-11,Delayed
326,2024-07-15,2024-07-15,On-Time
327,2022-08-11,2022-08-12,Delayed
328,2024-07-06,2024-07-06,On-Time
329,2024-11-11,2024-11-11,On-Time
330,2025-07-31,2025-07-31,On-Time
331,2025-09-16,2025-09-17,Delayed
332,2023-03-19,2023-03-20,Delayed
333,2022-11-17,2022-11-18,Delayed
334,2025-08-28,2025-08-29,Delayed
335,2024-11-24,2024-11-25,Delayed
336,2022-04-25,2022-04-25,On-Time
337,2025-10-15,2025-10-15,On-Time
338,2024-09-12,2024-09-12,On-Time
339,2023-01-27,2023-01-28,Delayed
340,2024-12-23,2024-12-23,On-Time
341,2023-12-20,2023-12-21,Delayed
342,2022-08-26,2022-08-28,Delayed
343,2024-11-20,2024-11-21,Delayed
344,2022-12-30,2022-12-30,On-Time
345,2022-06-15,2022-06-17,Delayed
346,2025-08-24,2025-08-25,Delayed
347,2025-11-13,2025-11-13,On-Time
348,2025-03-18,2025-03-19,Delayed
349,2022-11-02,2022-11-02,On-Time
350,2022-12-21,2022-12-21,On-Time
351,2022-04-22,2022-04-23,Delayed
352,2022-06-10,2022-06-10,On-Time
353,2022-12-21,2022-12-23,Delayed
354,2023-04-22,2023-04-22,On-Time
355,2025-06-22,2025-06-22,On-Time
356,2025-11-14,2025-11-16,Delayed
357,2022-02-02,2022-02-03,Delayed
358,2022-12-10,2022-12-10,On-Time
359,2023-09-10,2023-09-11,Delayed
360,2025-12-07,2025-12-07,On-Time
361,2023-05-07,2023-05-07,On-Time
362,2022-10-17,2022-10-17,On-Time
363,2023-12-10,2023-12-11,Delayed
364,2022-06-12,2022-06-12,On-Time
365,2022-10-25,2022-10-25,On-Time
366,2024-12-25,2024-12-25,On-Time
367,2022-03-10,2022-03-10,On-Time
368,2025-05-10,2025-05-11,Delayed
369,2022-07-27,2022-07-27,On-Time
370,2022-10-16,2022-10-18,Delayed
371,2022-07-30,2022-07-31,Delayed
372,2024-11-07,2024-11-07,On-Time
373,2022-07-08,2022-07-09,Delayed
374,2022-08-10,2022-08-11,Delayed
375,2025-06-28,2025-06-28,On-Time
376,2022-06-05,2022-06-07,Delayed
377,2022-04-15,2022-04-17,Delayed
378,2022-10-18,2022-10-19,Delayed
379,2024-10-23,2024-10-23,On-Time
380,2023-09-25,2023-09-27,Delayed
381,2022-11-21,2022-11-23,Delayed
382,2024-06-28,2024-06-30,Delayed
383,2022-03-16,2022-03-16,On-Time
384,2024-03-30,2024-04-01,Delayed
385,2022-03-17,2022-03-19,Delayed
386,2025-01-12,2025-01-14,Delayed
387,2022-08-24,2022-08-24,On-Time
388,2025-12-26,2025-12-26,On-Time
389,2024-02-13,2024-02-13,On-Time
390,2023-08-26,2023-08-27,Delayed
391,2022-04-21,2022-04-22,Delayed
392,2022-10-01,2022-10-02,Delayed
393,2022-11-09,2022-11-10,Delayed
394,2024-03-25,2024-03-25,On-Time
395,2025-04-24,2025-04-24,On-Time
396,2025-02-15,2025-02-15,On-Time
397,2022-10-12,2022-10-12,On-Time
398,2024-01-23,2024-01-25,Delayed
399,2024-05-24,2024-05-24,On-Time
400,2025-09-12,2025-09-13,Delayed
401,2025-07-22,2025-07-22,On-Time
402,2025-12-16,2025-12-18,Delayed
403,2025-12-26,2025-12-26,On-Time
404,2025-12-14,2025-12-15,Delayed
405,2025-09-22,2025-09-23,Delayed
406,2022-06-04,2022-06-04,On-Time
407,2025-04-13,2025-04-13,On-Time
408,2023-06-22,2023-06-23,Delayed
409,2024-09-16,2024-09-16,On-Time
410,2022-08-08,2022-08-08,On-Time
411,2023-02-18,2023-02-18,On-Time
412,2023-08-17,2023-08-17,On-Time
413,2024-06-16,2024-06-16,On-Time
414,2024-12-28,2024-12-28,On-Time
415,2025-12-25,2025-12-26,Delayed
416,2022-10-30,2022-11-01,Delayed
417,2025-01-28,2025-01-29,Delayed
418,2025-10-01,2025-10-02,Delayed
419,2025-10-13,2025-10-13,On-Time
420,2023-08-09,2023-08-10,Delayed
421,2024-03-12,2024-03-12,On-Time
422,2025-06-15,2025-06-16,Delayed
423,2022-07-08,2022-07-08,On-Time
424,2025-10-10,2025-10-11,Delayed
425,2025-10-17,2025-10-19,Delayed
426,2023-12-29,2023-12-30,Delayed
427,2023-03-27,2023-03-27,On-Time
428,2023-08-29,2023-08-29,On-Time
429,2022-11-09,2022-11-09,On-Time
430,2025-12-09,2025-12-09,On-Time
431,2024-01-14,2024-01-15,Delayed
432,2022-03-21,2022-03-21,On-Time
433,2023-04-20,2023-04-20,On-Time
434,2025-09-16,2025-09-16,On-Time
435,2023-03-23,2023-03-24,Delayed
436,2024-06-25,2024-06-25,On-Time
437,2024-09-12,2024-09-12,On-Time
438,2022-11-22,2022-11-22,On-Time
439,2023-08-28,2023-08-28,On-Time
440,2024-04-25,2024-04-26,Delayed
441,2025-09-05,2025-09-06,Delayed
442,2025-03-30,2025-03-30,On-Time
443,2022-05-29,2022-05-29,On-Time
444,2025-01-28,2025-01-29,Delayed
445,2024-08-31,2024-08-31,On-Time
446,2022-08-07,2022-08-07,On-Time
447,2024-10-09,2024-10-11,Delayed
448,2025-12-04,2025-12-06,Delayed
449,2024-06-22,2024-06-24,Delayed
450,2023-12-06,2023-12-06,On-Time
451,2022-06-08,2022-06-09,Delayed
452,2022-11-23,2022-11-23,On-Time
453,2023-11-11,2023-11-11,On-Time
454,2023-08-22,2023-08-23,Delayed
455,2023-11-10,2023-11-10,On-Time
456,2024-12-11,2024-12-13,Delayed
457,2022-05-30,2022-05-31,Delayed
458,2022-07-26,2022-07-27,Delayed
459,2022-09-11,2022-09-12,Delayed
460,2024-07-27,2024-07-28,Delayed
461,2024-10-25,2024-10-26,Delayed
462,2024-12-21,2024-12-22,Delayed
463,2024-07-08,2024-07-10,Delayed
464,2023-11-27,2023-11-27,On-Time
465,2022-11-11,2022-11-11,On-Time
466,2022-10-21,2022-10-21,On-Time
467,2024-12-05,2024-12-06,Delayed
468,2022-04-12,2022-04-13,Delayed
469,2025-12-21,2025-12-22,Delayed
470,2022-06-21,2022-06-23,Delayed
471,2022-11-21,2022-11-23,Delayed
472,2025-10-19,2025-10-19,On-Time
473,2023-12-25,2023-12-26,Delayed
474,2024-11-26,2024-11-26,On-Time
475,2024-04-26,2024-04-26,On-Time
476,2022-11-18,2022-11-20,Delayed
477,2023-05-08,2023-05-10,Delayed
478,2022-06-14,2022-06-15,Delayed
479,2024-08-12,2024-08-12,On-Time
480,2025-05-10,2025-05-10,On-Time
481,2023-05-18,2023-05-18,On-Time
482,2024-04-05,2024-04-07,Delayed
483,2025-06-02,2025-06-02,On-Time
484,2023-04-14,2023-04-14,On-Time
485,2022-11-11,2022-11-13,Delayed
486,2023-09-28,2023-09-29,Delayed
487,2022-06-19,2022-06-20,Delayed
488,2024-04-28,2024-04-29,Delayed
489,2025-10-10,2025-10-12,Delayed
490,2022-03-14,2022-03-16,Delayed
491,2025-12-17,2025-12-17,On-Time
492,2023-06-07,2023-06-07,On-Time
493,2022-06-14,2022-06-15,Delayed
494,2023-06-29,2023-07-01,Delayed
495,2022-12-09,2022-12-10,Delayed
496,2022-11-17,2022-11-17,On-Time
497,2025-08-29,2025-08-31,Delayed
498,2025-09-13,2025-09-15,Delayed
499,2022-09-11,2022-09-11,On-Time
500,2022-07-11,2022-07-13,Delayed
501,2025-11-14,2025-11-15,Delayed
502,2022-08-11,2022-08-11,On-Time
503,2022-05-24,2022-05-24,On-Time
504,2024-07-11,2024-07-11,On-Time
505,2022-08-10,2022-08-10,On-Time
506,2022-03-11,2022-03-12,Delayed
507,2023-11-10,2023-11-10,On-Time
508,2022-03-02,2022-03-02,On-Time
509,2024-09-24,2024-09-24,On-Time
510,2023-12-14,2023-12-15,Delayed
511,2022-10-23,2022-10-23,On-Time
512,2023-04-22,2023-04-22,On-Time
513,2022-09-17,2022-09-17,On-Time
514,2023-04-21,2023-04-23,Delayed
515,2025-11-10,2025-11-10,On-Time
516,2023-12-23,2023-12-24,Delayed
517,2023-04-24,2023-04-25,Delayed
518,2024-11-22,2024-11-22,On-Time
519,2022-02-06,2022-02-06,On-Time
520,2024-06-17,2024-06-18,Delayed
521,2025-02-10,2025-02-10,On-Time
522,2023-08-17,2023-08-18,Delayed
523,2024-11-13,2024-11-14,Delayed
524,2023-09-20,2023-09-20,On-Time
525,2022-10-01,2022-10-02,Delayed
526,2024-10-03,2024-10-03,On-Time
527,2025-06-11,2025-06-11,On-Time
528,2024-10-08,2024-10-08,On-Time
529,2025-10-30,2025-10-30,On-Time
530,2024-10-05,2024-10-06,Delayed
531,2022-08-13,2022-08-13,On-Time
532,2023-10-31,2023-10-31,On-Time
533,2023-01-15,2023-01-17,Delayed
534,2022-12-20,2022-12-20,On-Time
535,2024-04-19,2024-04-19,On-Time
536,2023-08-07,2023-08-08,Delayed
537,2024-10-19,2024-10-21,Delayed
538,2024-11-09,2024-11-09,On-Time
539,2024-10-20,2024-10-22,Delayed
540,2023-03-07,2023-03-09,Delayed
541,2024-09-17,2024-09-18,Delayed
542,2025-12-01,2025-12-01,On-Time
543,2024-10-30,2024-11-01,Delayed
544,2025-11-26,2025-11-27,Delayed
545,2023-05-13,2023-05-15,Delayed
546,2023-11-12,2023-11-12,On-Time
547,2023-11-19,2023-11-20,Delayed
548,2022-09-22,2022-09-24,Delayed
549,2022-10-23,2022-10-24,Delayed
550,2025-06-09,2025-06-10,Delayed
551,2025-12-02,2025-12-04,Delayed
552,2024-10-22,2024-10-22,On-Time
553,2022-04-26,2022-04-26,On-Time
554,2022-12-02,2022-12-03,Delayed
555,2023-12-18,2023-12-18,On-Time
556,2024-11-13,2024-11-13,On-Time
557,2025-07-23,2025-07-24,Delayed
558,2023-01-31,2023-02-01,Delayed
559,2023-12-12,2023-12-13,Delayed
560,2023-04-16,2023-04-16,On-Time
561,2024-03-23,2024-03-24,Delayed
562,2024-07-28,2024-07-29,Delayed
563,2024-10-16,2024-10-16,On-Time
564,2024-06-08,2024-06-09,Delayed
565,2022-09-01,2022-09-01,On-Time
566,2023-01-26,2023-01-27,Delayed
567,2025-09-16,2025-09-17,Delayed
568,2023-05-10,2023-05-10,On-Time
569,2024-07-31,2024-07-31,On-Time
570,2023-09-27,2023-09-29,Delayed
571,2025-12-29,2025-12-29,On-Time
572,2023-08-22,2023-08-22,On-Time
573,2022-05-21,2022-05-22,Delayed
574,2022-02-13,2022-02-14,Delayed
575,2025-09-10,2025-09-11,Delayed
576,2025-03-07,2025-03-07,On-Time
577,2022-09-29,2022-09-29,On-Time
578,2022-10-05,2022-10-05,On-Time
579,2024-11-06,2024-11-06,On-Time
580,2024-07-11,2024-07-12,Delayed
581,2024-12-20,2024-12-20,On-Time
582,2024-10-26,2024-10-26,On-Time
583,2024-02-14,2024-02-14,On-Time
584,2022-11-26,2022-11-28,Delayed
585,2024-10-30,2024-10-30,On-Time
586,2024-10-21,2024-10-21,On-Time
587,2025-09-07,2025-09-08,Delayed
588,2023-12-09,2023-12-10,Delayed
589,2022-06-11,2022-06-11,On-Time
590,2022-03-31,2022-04-02,Delayed
591,2022-10-07,2022-10-08,Delayed
592,2022-11-27,2022-11-27,On-Time
593,2024-02-14,2024-02-14,On-Time
594,2023-10-26,2023-10-27,Delayed
595,2024-12-17,2024-12-18,Delayed
596,2025-12-26,2025-12-27,Delayed
597,2022-12-14,2022-12-14,On-Time
598,2022-03-11,2022-03-12,Delayed
599,2024-08-21,2024-08-22,Delayed
600,2025-07-05,2025-07-06,Delayed
601,2023-11-12,2023-11-12,On-Time
602,2024-06-27,2024-06-27,On-Time
603,2023-10-28,2023-10-28,On-Time
604,2022-10-20,2022-10-22,Delayed
605,2024-11-18,2024-11-19,Delayed
606,2024-11-06,2024-11-08,Delayed
607,2025-08-01,2025-08-02,Delayed
608,2025-10-28,2025-10-28,On-Time
609,2025-03-16,2025-03-16,On-Time
610,2022-12-15,2022-12-15,On-Time
611,2023-12-10,2023-12-12,Delayed
612,2025-10-19,2025-10-19,On-Time
613,2022-12-28,2022-12-29,Delayed
614,2022-10-26,2022-10-26,On-Time
615,2025-01-09,2025-01-10,Delayed
616,2022-06-13,2022-06-13,On-Time
617,2025-10-21,2025-10-21,On-Time
618,2025-07-11,2025-07-13,Delayed
619,2023-01-01,2023-01-02,Delayed
620,2022-05-18,2022-05-20,Delayed
621,2022-12-29,2022-12-29,On-Time
622,2025-01-17,2025-01-17,On-Time
623,2024-09-28,2024-09-28,On-Time
624,2023-10-26,2023-10-27,Delayed
625,2024-07-20,2024-07-21,Delayed
626,2022-12-09,2022-12-10,Delayed
627,2025-06-13,2025-06-13,On-Time
628,2022-10-07,2022-10-07,On-Time
629,2024-10-31,2024-10-31,On-Time
630,2022-03-09,2022-03-10,Delayed
631,2024-11-20,2024-11-21,Delayed
632,2023-03-12,2023-03-13,Delayed
633,2024-10-24,2024-10-26,Delayed
634,2024-05-04,2024-05-04,On-Time
635,2022-11-18,2022-11-19,Delayed
636,2025-11-15,2025-11-16,Delayed
637,2024-12-08,2024-12-09,Delayed
638,2025-02-02,2025-02-03,Delayed
639,2023-11-17,2023-11-19,Delayed
640,2025-04-25,2025-04-26,Delayed
641,2024-01-10,2024-01-11,Delayed
642,2024-05-29,2024-05-31,Delayed
643,2022-07-22,2022-07-24,Delayed
644,2024-08-08,2024-08-10,Delayed
645,2024-12-23,2024-12-25,Delayed
646,2022-07-17,2022-07-18,Delayed
647,2024-12-15,2024-12-17,Delayed
648,2022-12-09,2022-12-10,Delayed
649,2023-01-16,2023-01-18,Delayed
650,2022-05-06,2022-05-07,Delayed
651,2024-12-28,2024-12-29,Delayed
652,2024-01-06,2024-01-06,On-Time
653,2022-08-22,2022-08-24,Delayed
654,2023-02-14,2023-02-14,On-Time
655,2025-10-30,2025-10-30,On-Time
656,2023-02-28,2023-03-01,Delayed
657,2022-06-16,2022-06-17,Delayed
658,2025-12-04,2025-12-05,Delayed
659,2025-10-03,2025-10-04,Delayed
660,2022-12-28,2022-12-30,Delayed
661,2022-04-27,2022-04-28,Delayed
662,2025-05-24,2025-05-25,Delayed
663,2023-10-23,2023-10-23,On-Time
664,2024-10-11,2024-10-13,Delayed
