order_item_id,order_id,product_id,seller_id,quantity,selling_price,discount,item_status,tax_amount,margin
78,40,417,23,4,4196.45,108.12,Returned,419.64,230.93
79,41,358,30,1,2136.02,649.67,Returned,213.6,1673.07
80,41,384,38,1,688.65,247.05,Cancelled,68.86,-1510.74
81,42,453,22,2,2102.73,790.88,Returned,210.27,1184.94
82,42,160,29,3,2771.22,1074.04,Delivered,277.12,-1037.57
83,42,418,34,4,344.63,7.67,Delivered,34.46,-2242.19
84,43,462,49,2,495.88,60.54,Delivered,49.59,-1937.36
85,43,149,4,2,4246.67,46.67,Delivered,424.67,903.45
86,43,318,46,3,579.98,125.22,Cancelled,58.0,-836.9
87,44,338,6,4,643.03,241.85,Returned,64.3,-1232.96
88,44,63,11,1,3889.87,866.92,Delivered,388.99,3028.02
89,44,211,14,2,622.44,83.56,Cancelled,62.24,-3157.65
90,45,169,50,3,4697.96,181.17,Cancelled,469.8,3442.39
91,45,446,32,5,722.03,196.58,Cancelled,72.2,-1633.05
92,45,272,30,2,1665.49,329.91,Cancelled,166.55,-520.03
93,46,315,43,2,4077.28,495.68,Cancelled,407.73,476.26
94,47,487,24,1,1692.25,397.47,Cancelled,169.23,596.69
95,48,51,48,5,1796.23,371.6,Returned,179.62,-874.79
96,48,458,45,2,1029.03,297.66,Cancelled,102.9,-1149.8
97,48,323,10,1,2146.21,475.87,Returned,214.62,905.81
98,49,245,47,2,843.15,336.21,Delivered,84.32,-573.89
99,49,460,6,3,2912.1,48.99,Cancelled,291.21,2504.62
100,49,184,28,5,1315.2,400.36,Returned,131.52,-2090.62
101,50,160,3,1,3748.45,96.81,Delivered,374.84,-60.34
102,50,129,4,2,2377.29,939.59,Delivered,237.73,-1524.27
103,51,415,13,1,476.21,11.92,Delivered,47.62,-3400.09
104,51,212,24,1,348.72,67.91,Delivered,34.87,-926.79
105,52,477,17,5,861.56,275.76,Delivered,86.16,-2661.91
106,53,341,34,1,2004.51,517.1,Returned,200.45,534.78
107,54,480,33,1,3869.74,1061.25,Returned,386.97,3508.9
108,55,69,34,1,3577.48,696.53,Returned,357.75,1662.83
109,55,386,28,3,2049.84,93.99,Returned,204.98,-1005.1
110,56,162,17,5,674.88,178.12,Delivered,67.49,473.53
111,56,431,9,5,2881.64,296.76,Delivered,288.16,2344.69
112,57,135,35,1,4379.44,340.88,Cancelled,437.94,2351.18
113,57,129,2,4,2746.25,570.63,Returned,274.62,-1155.31
114,57,335,15,2,1519.33,324.89,Delivered,151.93,1426.04
115,58,329,4,4,1156.98,116.96,Delivered,115.7,-842.31
116,58,99,23,1,912.75,24.94,Cancelled,91.28,-1056.76
117,59,314,20,2,1223.46,283.09,Delivered,122.35,-2447.52
118,59,81,18,4,538.63,39.04,Returned,53.86,-542.45
119,59,354,49,1,3255.62,961.69,Cancelled,325.56,17.45
120,60,182,43,3,477.34,116.77,Delivered,47.73,-2227.24
121,60,17,6,4,3289.02,1236.14,Cancelled,328.9,705.93
122,61,355,17,1,522.91,128.52,Returned,52.29,-1153.01
123,61,489,11,2,1603.98,303.47,Returned,160.4,1251.83
124,62,299,48,4,1362.44,18.47,Delivered,136.24,1184.09
125,62,220,43,5,517.92,91.38,Cancelled,51.79,407.0
126,62,151,49,3,1173.6,103.24,Cancelled,117.36,436.57
127,63,237,20,5,3069.44,395.26,Cancelled,306.94,646.24
128,63,210,45,3,3477.64,1094.61,Returned,347.76,3402.54
129,64,200,27,3,685.15,37.05,Returned,68.52,-1852.69
130,64,84,12,4,2749.26,1116.31,Returned,274.93,-872.46
131,65,188,20,5,3486.1,476.13,Cancelled,348.61,1606.45
132,66,394,10,5,1167.14,244.97,Delivered,116.71,-1560.72
133,66,5,30,1,829.01,70.66,Delivered,82.9,-1319.39
134,66,199,30,1,273.64,40.8,Delivered,27.36,-2897.34
135,67,361,7,4,3997.52,797.55,Cancelled,399.75,2060.85
136,67,232,31,3,3315.81,647.79,Cancelled,331.58,1419.12
137,67,413,9,3,4630.77,244.92,Delivered,463.08,1656.25
138,68,158,31,2,1022.32,165.33,Delivered,102.23,-2521.19
139,69,331,45,5,3100.96,340.1,Delivered,310.1,845.01
140,69,66,48,1,3267.28,726.6,Cancelled,326.73,862.64
141,69,354,6,1,3460.97,756.34,Cancelled,346.1,222.8
142,70,335,12,4,1459.5,384.72,Returned,145.95,1366.21
143,70,403,42,4,3025.02,51.01,Returned,302.5,1273.11
144,71,86,13,4,2007.51,501.04,Returned,200.75,269.41
145,71,384,3,1,917.4,18.3,Cancelled,91.74,-1281.99
146,72,309,27,5,1412.25,308.56,Delivered,141.22,-808.98
147,73,180,23,2,2559.12,328.34,Returned,255.91,1495.8
148,73,41,47,2,627.68,132.53,Delivered,62.77,-2981.4
149,74,321,48,3,3548.5,1185.98,Returned,354.85,2114.57
150,75,91,9,2,3930.17,376.76,Delivered,393.02,2723.35
151,75,390,4,5,1488.77,262.98,Returned,148.88,544.41
152,75,29,36,5,1943.92,120.24,Delivered,194.39,995.43
153,76,58,18,3,981.87,288.2,Returned,98.19,-1756.15
154,76,198,10,5,2548.4,1022.28,Delivered,254.84,231.87
155,77,99,26,1,701.89,235.8,Cancelled,70.19,-1267.62
156,77,479,50,3,1145.72,155.74,Cancelled,114.57,-426.08
157,77,385,45,2,1955.99,311.64,Returned,195.6,-811.31
158,78,223,36,4,3305.5,1365.07,Cancelled,330.55,630.16
159,79,114,17,3,1935.6,640.99,Returned,193.56,-1596.34
160,80,4,35,5,2041.77,468.65,Returned,204.18,-1873.46
161,80,293,15,1,3947.79,833.08,Cancelled,394.78,1565.06
162,80,22,13,5,3378.12,69.47,Delivered,337.81,-296.81
163,81,77,50,3,913.79,184.03,Delivered,91.38,-1926.41
164,81,496,13,5,652.03,140.81,Cancelled,65.2,-1008.09
165,82,388,36,2,3193.95,150.5,Delivered,319.4,2802.36
166,82,69,47,3,3165.04,1108.97,Delivered,316.5,1250.39
167,82,105,42,5,629.71,19.05,Delivered,62.97,-2471.06
168,83,458,45,1,934.79,391.9,Cancelled,93.48,-1244.04
169,83,385,11,5,1982.09,285.54,Returned,198.21,-785.21
170,83,307,15,4,3621.61,547.4,Delivered,362.16,2957.3
171,84,366,26,3,2609.73,739.62,Delivered,260.97,-501.32
172,84,6,13,1,3744.18,91.9,Cancelled,374.42,1767.87
173,85,370,13,4,3740.5,781.4,Returned,374.05,3397.28
174,86,328,45,4,3084.25,888.47,Cancelled,308.42,2953.69
175,87,268,5,5,1743.9,215.92,Cancelled,174.39,-1110.91
176,87,195,37,2,2431.0,400.44,Returned,243.1,-551.0
177,88,124,14,5,3867.91,546.44,Delivered,386.79,225.26
178,88,319,15,4,1191.76,470.9,Delivered,119.18,1020.74
179,89,447,9,2,2640.76,811.52,Delivered,264.08,-678.27
180,89,227,22,4,867.57,69.61,Delivered,86.76,-249.14
181,89,391,32,3,1306.21,326.21,Cancelled,130.62,1036.81
182,90,47,6,1,764.98,312.49,Cancelled,76.5,-2743.68
183,91,53,17,5,1613.88,623.57,Returned,161.39,-984.14
184,91,446,42,2,802.16,116.45,Cancelled,80.22,-1552.92
185,92,163,34,2,1580.1,162.98,Cancelled,158.01,-851.14
186,92,34,33,2,2255.02,397.16,Cancelled,225.5,109.74
187,92,211,42,4,506.56,199.44,Cancelled,50.66,-3273.53
188,93,419,16,2,4257.41,456.31,Returned,425.74,1591.14
189,93,75,8,5,472.25,8.13,Delivered,47.22,-927.19
190,93,422,24,2,2614.57,68.43,Returned,261.46,-935.58
191,94,6,33,3,3387.23,448.85,Delivered,338.72,1410.92
192,94,424,8,2,3306.71,1019.64,Returned,330.67,1289.29
193,94,129,45,3,2830.71,486.17,Cancelled,283.07,-1070.85
194,95,285,36,1,4200.23,96.85,Delivered,420.02,2168.28
195,95,349,46,1,924.08,284.39,Cancelled,92.41,-2962.67
196,96,407,4,5,1906.57,328.81,Cancelled,190.66,-881.75
197,96,222,18,2,3887.83,1073.81,Returned,388.78,2611.9
198,96,169,17,5,4528.11,351.02,Returned,452.81,3272.54
199,97,52,17,3,2237.15,845.1,Delivered,223.72,-1576.61
200,97,196,15,4,802.39,228.27,Delivered,80.24,-1304.27
201,97,36,22,4,4205.57,181.91,Delivered,420.56,3309.92
202,98,130,37,3,3214.99,525.89,Delivered,321.5,406.02
203,98,433,28,2,253.14,69.5,Returned,25.31,-1494.57
204,99,25,46,2,1633.33,481.38,Delivered,163.33,1160.59
205,99,258,3,2,1970.67,63.88,Returned,197.07,-788.23
206,100,197,7,5,428.29,43.53,Returned,42.83,-1720.16
207,100,339,20,2,3492.01,25.8,Delivered,349.2,2394.85
208,100,381,22,3,2739.01,1131.19,Returned,273.9,2356.16
209,101,56,5,4,1582.12,547.85,Cancelled,158.21,-1639.41
210,102,259,12,1,393.05,46.88,Delivered,39.31,-1090.24
211,102,16,42,3,2871.75,883.44,Returned,287.18,984.93
212,102,8,32,3,2355.06,1008.68,Delivered,235.51,598.4
213,103,36,36,5,3722.72,664.76,Delivered,372.27,2827.07
214,103,147,19,3,430.23,155.32,Cancelled,43.02,-2148.92
215,103,9,11,2,81.47,27.78,Cancelled,8.15,-1046.27
216,104,179,27,4,2480.86,163.01,Delivered,248.09,-973.78
217,104,335,38,4,1560.76,283.46,Cancelled,156.08,1467.47
218,105,446,43,1,837.66,80.95,Cancelled,83.77,-1517.42
219,105,153,3,3,2102.77,884.26,Cancelled,210.28,-996.54
220,106,13,13,5,730.47,8.42,Returned,73.05,-542.33
221,107,243,2,5,2014.26,617.04,Delivered,201.43,-200.1
222,108,181,1,3,1148.38,447.53,Returned,114.84,-566.86
223,109,407,25,4,2134.47,100.91,Cancelled,213.45,-653.85
224,109,19,24,5,473.18,48.08,Returned,47.32,-2396.83
225,109,40,38,1,4555.36,203.76,Cancelled,455.54,2280.2
226,110,353,27,4,327.06,86.21,Delivered,32.71,-1666.15
227,110,18,40,5,3393.38,415.46,Returned,339.34,1044.25
228,110,480,18,5,3678.33,1252.66,Returned,367.83,3317.49
229,111,402,14,5,2173.69,714.56,Returned,217.37,-1199.72
230,111,453,11,1,2171.74,721.87,Delivered,217.17,1253.95
231,112,252,19,2,2153.23,487.65,Cancelled,215.32,2088.87
232,112,30,33,5,2156.89,426.52,Returned,215.69,842.79
233,113,458,40,2,1303.49,23.2,Cancelled,130.35,-875.34
234,114,278,26,2,4807.16,107.49,Returned,480.72,4132.68
235,114,282,3,2,3833.3,215.86,Returned,383.33,172.34
236,115,200,17,1,715.8,6.4,Cancelled,71.58,-1822.04
237,115,70,49,1,2181.85,465.3,Delivered,218.18,-1732.46
238,116,143,39,2,330.23,47.59,Delivered,33.02,172.01
239,116,357,10,5,1566.83,21.56,Delivered,156.68,-975.31
240,117,424,12,3,3414.29,912.06,Cancelled,341.43,1396.87
241,117,247,30,1,2501.55,263.33,Cancelled,250.16,-837.97
242,118,352,21,3,1581.98,485.23,Returned,158.2,1400.75
243,119,299,50,2,973.79,407.12,Returned,97.38,795.44
244,119,344,5,3,2932.84,36.09,Cancelled,293.28,281.88
245,119,56,46,2,1502.71,627.26,Cancelled,150.27,-1718.82
246,120,245,18,3,1094.9,84.46,Cancelled,109.49,-322.14
247,120,109,5,4,1135.47,146.43,Delivered,113.55,-2802.55
248,120,291,50,2,239.56,48.35,Cancelled,23.96,-3284.64
249,121,111,1,3,2836.09,1143.21,Delivered,283.61,2645.84
250,122,379,28,4,1902.18,558.42,Cancelled,190.22,-989.88
251,122,140,2,5,1938.3,137.34,Delivered,193.83,989.7
252,123,170,12,1,2348.67,315.87,Returned,234.87,602.37
253,123,113,33,2,3121.91,1173.72,Delivered,312.19,-217.07
254,123,468,4,1,2919.7,502.25,Cancelled,291.97,1169.56
255,124,478,22,2,2446.79,982.41,Cancelled,244.68,-61.25
256,124,424,9,2,4291.49,34.86,Returned,429.15,2274.07
257,125,16,35,3,2726.71,1028.48,Returned,272.67,839.89
258,125,484,3,2,2266.25,645.4,Returned,226.62,1671.25
259,125,114,48,2,1926.18,650.41,Cancelled,192.62,-1605.76
260,126,325,29,4,272.05,20.01,Delivered,27.2,-3609.74
261,126,411,22,5,3149.92,292.99,Returned,314.99,3000.53
262,127,294,4,1,1728.35,106.61,Returned,172.84,523.51
263,127,491,42,1,780.25,17.8,Returned,78.03,-1354.8
264,127,243,12,2,1947.11,684.19,Delivered,194.71,-267.25
265,128,236,9,5,993.22,110.14,Returned,99.32,-229.63
266,128,222,48,1,4611.91,349.73,Delivered,461.19,3335.98
267,129,58,20,2,996.47,273.6,Cancelled,99.65,-1741.55
268,130,181,18,3,1481.86,114.05,Cancelled,148.19,-233.38
269,130,291,26,2,223.3,64.61,Delivered,22.33,-3300.9
270,130,377,34,1,3804.31,267.39,Returned,380.43,809.71
271,131,34,33,2,2407.74,244.44,Cancelled,240.77,262.46
272,131,493,42,3,1999.11,33.76,Delivered,199.91,241.98
273,131,227,7,3,826.34,110.84,Returned,82.63,-290.37
274,132,54,46,2,1012.57,25.87,Delivered,101.26,-837.49
275,132,211,15,1,652.7,53.3,Returned,65.27,-3127.39
276,132,374,41,5,352.44,13.07,Delivered,35.24,-410.58
277,133,76,36,5,1442.07,317.46,Delivered,144.21,-2398.87
278,133,494,45,3,1536.47,435.35,Delivered,153.65,484.52
279,133,260,24,4,752.15,78.83,Cancelled,75.22,-1741.25
280,134,128,12,1,1529.95,71.5,Delivered,153.0,1066.6
281,134,500,36,4,816.31,20.35,Delivered,81.63,291.32
282,134,146,23,4,1087.08,57.71,Cancelled,108.71,491.52
283,135,174,9,2,243.71,64.08,Cancelled,24.37,-1407.89
284,136,494,18,2,1928.24,43.58,Cancelled,192.82,876.29
285,136,85,32,1,769.71,25.47,Delivered,76.97,-2517.01
286,136,11,13,5,1501.33,434.59,Delivered,150.13,-878.64
287,137,24,14,2,1565.38,215.57,Cancelled,156.54,-0.42
288,137,367,42,3,3426.09,359.72,Returned,342.61,1900.69
289,138,459,6,1,2513.37,309.52,Delivered,251.34,1004.17
290,138,302,20,1,1367.53,18.2,Cancelled,136.75,1271.84
291,139,11,13,3,1468.46,467.46,Delivered,146.85,-911.51
292,139,356,18,2,2252.49,712.21,Returned,225.25,1356.71
293,139,493,41,5,1923.32,109.55,Cancelled,192.33,166.19
294,140,142,32,3,440.92,69.46,Cancelled,44.09,-959.8
295,141,120,40,1,848.2,25.64,Cancelled,84.82,-1551.13
296,142,403,50,5,2742.83,333.2,Returned,274.28,990.92
297,142,49,1,5,232.6,53.13,Delivered,23.26,-3039.82
298,142,214,40,2,1442.61,151.35,Delivered,144.26,-2245.28
299,143,258,20,1,1514.16,520.39,Delivered,151.42,-1244.74
300,144,121,46,4,1487.98,59.5,Returned,148.8,27.84
301,144,141,17,3,3210.56,917.14,Cancelled,321.06,2512.53
302,144,74,29,3,1518.94,641.65,Returned,151.89,598.94
303,145,419,35,4,4039.09,674.63,Delivered,403.91,1372.82
304,145,296,8,1,2555.81,572.26,Cancelled,255.58,2246.27
305,146,6,12,1,3373.34,462.74,Delivered,337.33,1397.03
306,146,71,26,4,330.92,72.63,Returned,33.09,-3234.0
307,147,120,44,1,739.83,134.01,Returned,73.98,-1659.5
308,148,328,40,2,3869.79,102.93,Cancelled,386.98,3739.23
309,149,417,24,5,3181.43,1123.14,Delivered,318.14,-784.09
310,149,126,14,1,1608.13,254.41,Cancelled,160.81,-579.13
311,150,199,29,4,288.54,25.9,Returned,28.85,-2882.44
312,151,257,34,5,3225.84,149.75,Delivered,322.58,384.79
313,151,164,41,2,1040.83,10.42,Returned,104.08,-2023.33
314,152,101,43,1,3412.54,807.26,Returned,341.25,1009.01
315,153,494,23,5,1387.85,583.97,Delivered,138.78,335.9
316,153,103,19,5,2272.27,303.42,Returned,227.23,-260.51
317,154,75,41,3,368.54,111.84,Cancelled,36.85,-1030.9
318,154,117,11,1,1644.47,630.5,Returned,164.45,721.38
319,154,236,41,3,902.15,201.21,Cancelled,90.22,-320.7
320,155,38,39,4,3776.41,72.36,Returned,377.64,1490.21
321,155,59,14,4,4493.27,318.34,Delivered,449.33,2784.52
322,155,327,38,1,1990.61,720.19,Cancelled,199.06,-1937.56
323,156,442,19,5,715.87,204.43,Returned,71.59,-2319.19
324,156,399,50,5,1673.7,159.89,Returned,167.37,-1901.81
325,156,328,36,4,3815.14,157.58,Cancelled,381.51,3684.58
326,157,134,26,4,3027.71,978.75,Delivered,302.77,-527.49
327,157,123,21,1,2794.63,246.74,Cancelled,279.46,2315.39
328,158,405,45,1,216.45,71.34,Cancelled,21.64,-1080.99
329,158,256,40,5,677.29,217.63,Cancelled,67.73,-818.82
330,159,219,1,4,2908.32,69.69,Delivered,290.83,2611.14
331,159,177,7,4,3227.71,17.32,Delivered,322.77,2562.18
332,160,83,14,4,3670.02,1174.31,Delivered,367.0,2022.39
333,161,87,18,4,1703.72,253.03,Delivered,170.37,-1267.51
334,161,155,41,3,3215.8,947.68,Cancelled,321.58,2474.59
335,161,269,36,2,3043.29,1184.94,Cancelled,304.33,466.05
336,162,123,27,5,2955.25,86.12,Returned,295.53,2476.01
337,163,142,21,4,357.45,152.93,Cancelled,35.74,-1043.27
338,163,140,48,3,1994.96,80.68,Returned,199.5,1046.36
339,164,119,1,2,1995.49,704.38,Cancelled,199.55,-933.92
340,165,66,30,5,3075.1,918.78,Cancelled,307.51,670.46
341,166,124,40,1,3577.57,836.78,Delivered,357.76,-65.08
342,166,379,12,5,2174.5,286.1,Cancelled,217.45,-717.56
343,167,211,28,4,628.5,77.5,Returned,62.85,-3151.59
344,168,239,42,3,994.99,205.19,Cancelled,99.5,-257.0
345,169,355,28,3,621.68,29.75,Delivered,62.17,-1054.24
346,170,96,37,3,2123.59,196.47,Returned,212.36,-947.04
347,170,204,35,3,1529.96,86.2,Delivered,153.0,-1049.79
348,170,441,26,5,456.63,144.71,Cancelled,45.66,391.22
349,171,121,12,3,1522.35,25.13,Returned,152.23,62.21
350,172,418,6,2,318.25,34.05,Delivered,31.83,-2268.57
351,172,89,34,5,2554.62,1051.52,Cancelled,255.46,2059.87
352,172,452,22,3,1085.74,285.55,Returned,108.57,585.76
353,173,412,26,1,454.16,144.5,Cancelled,45.42,-822.22
354,174,498,29,5,3329.57,588.33,Cancelled,332.96,2017.12
355,175,367,20,1,2768.4,1017.41,Cancelled,276.84,1243.0
356,175,249,7,1,3832.35,880.26,Returned,383.24,3487.31
357,175,365,16,5,3667.51,233.95,Returned,366.75,1380.48
358,176,276,38,4,3264.66,802.49,Delivered,326.47,1728.35
359,176,47,13,2,783.96,293.51,Cancelled,78.4,-2724.7
360,177,168,3,4,3322.51,474.18,Delivered,332.25,1228.76
361,177,3,34,2,4423.39,532.15,Cancelled,442.34,3795.71
362,177,391,10,5,1367.76,264.66,Delivered,136.78,1098.36
363,178,364,39,4,1102.94,227.43,Delivered,110.29,631.51
364,178,268,6,1,1605.67,354.15,Returned,160.57,-1249.14
365,179,139,35,1,1976.62,637.89,Cancelled,197.66,-1419.65
366,179,417,6,3,3283.77,1020.8,Returned,328.38,-681.75
367,180,212,49,5,384.25,32.38,Returned,38.43,-891.26
368,180,416,11,4,546.97,34.06,Returned,54.7,151.46
369,181,437,31,3,4377.23,607.67,Delivered,437.72,2087.62
370,181,276,30,3,2974.98,1092.17,Returned,297.5,1438.67
371,181,37,10,1,2414.06,140.74,Cancelled,241.41,421.61
372,182,498,48,4,3527.38,390.52,Cancelled,352.74,2214.93
373,182,480,35,3,4118.77,812.22,Returned,411.88,3757.93
374,183,29,25,2,1722.6,341.56,Cancelled,172.26,774.11
375,183,330,25,2,620.77,238.97,Cancelled,62.08,-1203.27
376,183,48,12,4,2760.93,174.7,Returned,276.09,1508.57
377,184,300,48,5,4249.68,556.86,Returned,424.97,2724.01
378,184,302,25,3,1325.04,60.69,Returned,132.5,1229.35
379,184,124,15,3,3852.45,561.9,Delivered,385.24,209.8
380,185,457,1,4,3388.38,1302.71,Returned,338.84,2955.84
381,185,318,4,1,516.2,189.0,Returned,51.62,-900.68
382,186,39,44,4,1066.61,262.65,Delivered,106.66,161.77
383,187,494,45,3,1764.65,207.17,Cancelled,176.47,712.7
384,187,325,24,5,220.81,71.25,Delivered,22.08,-3660.98
385,187,450,46,3,680.93,266.37,Cancelled,68.09,-1152.74
386,188,485,1,3,862.4,204.94,Delivered,86.24,-2350.3
387,188,31,17,5,3619.94,1105.5,Delivered,361.99,3346.18
388,188,84,22,2,3337.91,527.66,Cancelled,333.79,-283.81
389,189,80,15,5,715.9,44.61,Delivered,71.59,30.67
390,189,434,22,2,4289.17,692.3,Cancelled,428.92,465.41
391,189,358,4,1,2634.94,150.75,Cancelled,263.49,2171.99
392,190,88,17,5,2200.6,213.17,Delivered,220.06,-111.34
393,190,211,23,4,558.43,147.57,Returned,55.84,-3221.66
394,191,70,11,4,2128.32,518.83,Delivered,212.83,-1785.99
395,191,98,36,4,1880.91,344.04,Cancelled,188.09,-749.8
396,192,326,43,4,2293.54,509.84,Delivered,229.35,1502.91
397,192,273,27,1,3218.41,419.85,Returned,321.84,-121.11
398,192,120,19,4,814.38,59.46,Returned,81.44,-1584.95
399,193,9,43,1,84.3,24.95,Delivered,8.43,-1043.44
400,193,302,26,4,1307.77,77.96,Delivered,130.78,1212.08
401,194,278,38,5,4521.74,392.91,Cancelled,452.17,3847.26
402,194,94,25,5,3024.13,410.42,Cancelled,302.41,-225.6
403,194,342,36,4,1219.23,4.75,Returned,121.92,-2524.16
404,195,240,16,5,3968.88,656.92,Returned,396.89,1739.82
405,195,435,11,5,1282.19,516.74,Cancelled,128.22,-517.81
406,196,244,36,5,3024.99,87.11,Returned,302.5,2417.25
407,197,261,17,1,4612.57,384.28,Delivered,461.26,1079.55
408,198,390,25,1,1262.18,489.57,Delivered,126.22,317.82
409,198,132,21,3,1467.7,486.61,Delivered,146.77,-2471.28
410,198,464,41,2,4017.83,711.4,Cancelled,401.78,2490.84
411,199,353,24,4,390.03,23.24,Cancelled,39.0,-1603.18
412,200,296,11,1,2560.34,567.73,Cancelled,256.03,2250.8
413,201,425,40,2,3925.33,235.36,Returned,392.53,601.51
414,201,125,47,2,233.51,33.6,Returned,23.35,7.07
415,201,76,9,5,1527.77,231.76,Cancelled,152.78,-2313.17
416,202,239,8,5,1142.43,57.75,Cancelled,114.24,-109.56
417,202,369,18,4,202.02,40.27,Returned,20.2,-1569.35
418,203,280,9,2,2000.51,404.59,Returned,200.05,-1292.85
419,203,500,38,4,819.96,16.7,Delivered,82.0,294.97
420,203,451,17,4,4329.02,531.74,Cancelled,432.9,632.87
421,204,414,46,5,4439.81,145.52,Delivered,443.98,2411.22
422,204,91,38,4,3274.92,1032.01,Cancelled,327.49,2068.1
