order_item_id,return_reason,return_date,refund_amount
147,No Longer Needed,2024-01-31,2303.208
149,Damaged,2023-10-24,3193.65
151,Damaged,2023-05-16,1339.893
153,No Longer Needed,2025-09-02,883.683
157,Damaged,2023-04-15,1760.391
159,No Longer Needed,2022-07-01,1742.04
160,No Longer Needed,2025-08-28,1837.593
169,Wrong Item,2023-03-04,1783.8809999999999
173,Wrong Item,2023-10-14,3366.4500000000003
176,Wrong Item,2025-07-23,2187.9
183,Wrong Item,2023-09-28,1452.4920000000002
188,No Longer Needed,2024-07-10,3831.669
190,No Longer Needed,2024-07-11,2353.1130000000003
192,Damaged,2025-10-26,2976.039
197,Damaged,2024-06-21,3499.047
198,Wrong Item,2024-06-17,4075.299
203,Damaged,2025-05-15,227.826
205,Wrong Item,2024-10-10,1773.603
206,Wrong Item,2022-08-07,385.461
208,No Longer Needed,2022-08-09,2465.1090000000004
211,Wrong Item,2022-10-14,2584.5750000000003
220,Wrong Item,2024-08-30,657.423
222,Wrong Item,2022-08-11,1033.5420000000001
224,Damaged,2024-11-14,425.862
227,No Longer Needed,2023-09-04,3054.0420000000004
228,No Longer Needed,2023-09-04,3310.497
229,Damaged,2022-08-19,1956.3210000000001
232,No Longer Needed,2022-04-05,1941.201
234,Damaged,2025-09-23,4326.444
235,Damaged,2025-09-26,3449.9700000000003
242,Wrong Item,2025-07-31,1423.7820000000002
243,Damaged,2022-09-05,876.411
252,Damaged,2022-08-18,2113.8030000000003
256,Damaged,2023-10-22,3862.341
257,Damaged,2025-12-17,2454.039
258,Damaged,2025-12-11,2039.625
261,Wrong Item,2025-10-18,2834.9280000000003
262,Wrong Item,2024-08-14,1555.5149999999999
263,Damaged,2024-08-12,702.225
265,Wrong Item,2022-09-27,893.898
270,No Longer Needed,2022-01-12,3423.879
273,Wrong Item,2023-12-12,743.706
275,Damaged,2022-11-13,587.4300000000001
288,Damaged,2024-08-16,3083.481
292,Damaged,2022-05-27,2027.2409999999998
296,Damaged,2025-02-19,2468.547
300,Wrong Item,2025-10-27,1339.182
302,Damaged,2025-10-28,1367.046
306,No Longer Needed,2022-10-07,297.82800000000003
307,No Longer Needed,2023-04-14,665.8470000000001
311,Wrong Item,2024-09-11,259.68600000000004
313,Wrong Item,2024-10-18,936.747
314,Wrong Item,2022-07-29,3071.286
316,Damaged,2024-11-18,2045.0430000000001
318,Damaged,2022-12-06,1480.0230000000001
320,No Longer Needed,2023-09-14,3398.769
323,No Longer Needed,2023-10-13,644.283
324,Wrong Item,2023-10-16,1506.3300000000002
336,Damaged,2025-12-31,2659.725
338,No Longer Needed,2024-08-27,1795.4640000000002
343,No Longer Needed,2024-12-05,565.65
346,Damaged,2024-04-12,1911.2310000000002
349,Damaged,2022-04-12,1370.115
352,Damaged,2022-09-30,977.166
356,No Longer Needed,2022-11-08,3449.115
357,Damaged,2022-11-09,3300.7590000000005
364,Damaged,2025-08-26,1445.103
366,No Longer Needed,2025-02-28,2955.393
367,Damaged,2024-12-29,345.825
368,Wrong Item,2025-01-04,492.273
370,No Longer Needed,2024-11-27,2677.482
373,Damaged,2023-07-28,3706.8930000000005
376,Wrong Item,2024-04-09,2484.837
377,No Longer Needed,2022-11-12,3824.7120000000004
378,Damaged,2022-11-17,1192.536
380,Damaged,2024-04-23,3049.5420000000004
381,Wrong Item,2024-04-20,464.58000000000004
393,Damaged,2022-02-16,502.587
397,Damaged,2022-04-22,2896.569
398,Wrong Item,2022-04-18,732.942
403,No Longer Needed,2023-11-24,1097.307
404,Wrong Item,2024-10-23,3571.992
406,Damaged,2023-10-30,2722.491
413,Damaged,2023-07-01,3532.797
414,Damaged,2023-07-07,210.159
417,Damaged,2025-07-26,181.818
418,Wrong Item,2025-11-25,1800.459
423,Damaged,2024-12-15,2466.7740000000003
428,No Longer Needed,2022-09-08,1213.956
430,No Longer Needed,2024-07-06,620.316
431,No Longer Needed,2024-04-10,284.643
435,Wrong Item,2022-04-22,3479.193
436,Damaged,2023-06-27,4098.375
437,Damaged,2023-06-21,3651.6780000000003
438,No Longer Needed,2023-06-25,4366.962
440,Wrong Item,2025-12-22,2598.9390000000003
443,No Longer Needed,2024-10-04,94.76100000000001
446,Damaged,2023-07-26,1082.988
448,No Longer Needed,2025-04-21,2157.129
449,Wrong Item,2025-04-19,3121.8840000000005
463,Damaged,2023-11-13,3506.229
466,Damaged,2025-10-16,1749.582
471,Wrong Item,2022-06-04,2818.422
473,No Longer Needed,2022-06-10,4203.621
474,Wrong Item,2022-01-10,2884.014
476,No Longer Needed,2022-01-11,3983.0849999999996
485,No Longer Needed,2022-10-04,2477.241
501,No Longer Needed,2023-06-05,2355.6780000000003
502,No Longer Needed,2023-06-04,461.385
511,No Longer Needed,2025-07-18,2536.641
513,Wrong Item,2022-02-21,974.493
514,No Longer Needed,2025-10-13,1976.49
524,Damaged,2025-08-23,2932.164
525,Wrong Item,2025-08-21,1027.404
528,Wrong Item,2024-04-12,2985.75
529,Damaged,2024-04-14,854.451
534,No Longer Needed,2024-06-24,2812.9320000000002
536,No Longer Needed,2023-02-11,2483.883
537,No Longer Needed,2023-02-19,2291.733
542,Wrong Item,2023-04-20,2797.695
544,Damaged,2024-01-06,681.903
548,No Longer Needed,2022-09-11,2681.2799999999997
551,Damaged,2024-12-22,597.411
552,Wrong Item,2024-08-06,2356.497
553,Damaged,2024-08-09,1507.311
558,No Longer Needed,2025-11-05,1853.1090000000002
562,Damaged,2025-11-14,1335.195
565,Damaged,2025-06-22,1171.008
566,Damaged,2023-08-23,2948.607
568,Wrong Item,2022-11-12,2571.309
570,Damaged,2022-11-13,2252.556
579,No Longer Needed,2023-07-31,314.226
581,No Longer Needed,2023-11-04,1146.4920000000002
584,Damaged,2022-01-18,3325.257
596,No Longer Needed,2022-12-26,662.2470000000001
599,Damaged,2025-07-28,1511.847
602,Damaged,2024-08-07,1622.601
603,Wrong Item,2024-12-10,1779.498
604,Damaged,2024-03-28,343.512
606,Damaged,2023-03-18,1043.865
612,No Longer Needed,2022-07-21,1349.9640000000002
619,Damaged,2023-10-19,1942.218
621,Damaged,2023-11-21,2384.199
623,No Longer Needed,2024-11-25,1215.405
625,No Longer Needed,2025-04-28,3595.968
627,No Longer Needed,2025-10-30,1202.112
629,No Longer Needed,2025-12-18,1815.669
633,No Longer Needed,2022-11-19,3394.566
634,Wrong Item,2022-08-04,400.59000000000003
635,No Longer Needed,2022-08-03,1390.383
645,Wrong Item,2024-01-20,3355.083
650,Wrong Item,2025-01-13,1478.3129999999999
653,Wrong Item,2023-08-28,1454.607
655,No Longer Needed,2025-09-07,2887.578
656,No Longer Needed,2025-09-12,712.62
659,Damaged,2025-12-27,902.5740000000001
662,No Longer Needed,2024-10-17,3605.004
663,Wrong Item,2024-10-16,561.8340000000001
664,Damaged,2024-10-09,3201.93
667,Wrong Item,2022-08-11,285.93899999999996
669,Wrong Item,2024-07-10,1474.5059999999999
671,Damaged,2024-07-06,1371.555
677,No Longer Needed,2023-03-19,306.76500000000004
682,Damaged,2024-11-23,1805.085
683,No Longer Needed,2024-11-27,273.393
687,Damaged,2025-10-19,2070.261
688,No Longer Needed,2024-09-12,3022.866
697,Damaged,2022-08-22,2606.679
698,Damaged,2022-08-29,2381.607
699,Wrong Item,2024-11-25,2814.525
701,Wrong Item,2023-01-01,3611.8979999999997
702,Wrong Item,2022-06-20,1730.295
704,Wrong Item,2025-11-17,426.86100000000005
705,Damaged,2025-11-14,2243.133
706,Wrong Item,2025-11-17,402.156
709,Damaged,2025-03-20,1916.7299999999998
712,Damaged,2022-12-20,3634.173
713,Damaged,2022-04-19,1963.494
715,Damaged,2022-06-11,1168.227
716,Wrong Item,2022-12-24,3004.7850000000003
717,Wrong Item,2022-12-19,3053.43
721,Wrong Item,2025-11-18,1742.7510000000002
724,No Longer Needed,2022-01-29,3976.7040000000006
725,No Longer Needed,2022-01-31,3874.977
740,Damaged,2022-10-30,364.833
742,No Longer Needed,2024-12-22,1093.5
743,No Longer Needed,2024-12-22,1437.984
744,No Longer Needed,2022-03-16,1514.412
747,Wrong Item,2022-07-25,3132.468
748,Damaged,2022-07-30,1337.094
757,Wrong Item,2025-06-27,4110.111
758,No Longer Needed,2025-06-24,403.533
759,No Longer Needed,2022-06-11,2007.4229999999998
761,No Longer Needed,2022-04-16,1272.7079999999999
765,No Longer Needed,2024-10-26,3190.0950000000003
770,Damaged,2022-11-25,1569.834
771,Damaged,2024-06-27,3257.5409999999997
775,Wrong Item,2022-03-13,662.769
784,Damaged,2022-08-21,2031.876
790,Damaged,2022-04-25,2591.694
793,No Longer Needed,2022-11-14,2330.235
797,Damaged,2024-03-28,3183.0570000000002
803,Wrong Item,2025-02-20,3576.717
805,Damaged,2022-10-12,3290.8140000000003
808,Wrong Item,2024-05-25,2981.592
809,No Longer Needed,2024-05-28,2140.326
810,No Longer Needed,2025-09-11,3124.44
811,No Longer Needed,2025-09-11,3108.0240000000003
813,No Longer Needed,2025-07-23,312.687
815,Wrong Item,2025-07-26,2821.05
816,No Longer Needed,2025-12-18,663.048
818,Damaged,2025-12-12,1839.816
820,Damaged,2025-09-19,4409.091
825,No Longer Needed,2023-06-20,214.092
827,Damaged,2023-06-21,1036.233
829,No Longer Needed,2024-09-15,3049.065
830,Damaged,2022-08-09,1376.37
834,Damaged,2023-02-19,3109.617
836,Damaged,2024-06-18,1221.9750000000001
837,Damaged,2024-06-19,1476.837
840,Wrong Item,2024-12-31,1040.247
842,No Longer Needed,2025-12-30,2124.423
843,Damaged,2022-10-31,1591.272
848,Damaged,2025-09-29,3560.202
849,Wrong Item,2025-09-30,1281.915
852,Damaged,2025-10-12,331.497
853,No Longer Needed,2023-08-11,1961.478
854,No Longer Needed,2024-03-18,3418.4159999999997
855,No Longer Needed,2024-03-11,660.987
861,No Longer Needed,2022-07-07,1685.8980000000001
864,No Longer Needed,2025-10-19,3876.5790000000006
875,Wrong Item,2022-11-07,1326.3390000000002
882,Damaged,2023-04-24,1411.29
885,Wrong Item,2025-09-15,2770.947
887,Wrong Item,2023-03-26,3027.798
889,Wrong Item,2024-06-30,532.5029999999999
892,Wrong Item,2024-09-19,2965.9770000000003
896,Wrong Item,2023-08-24,3455.694
905,No Longer Needed,2022-05-28,284.04900000000004
907,Damaged,2025-02-02,2257.407
912,No Longer Needed,2024-10-15,597.843
916,Damaged,2024-06-29,2618.271
917,Damaged,2024-06-21,676.5210000000001
919,Damaged,2023-12-07,1189.386
922,No Longer Needed,2022-06-09,3491.766
923,No Longer Needed,2022-11-27,973.5300000000001
929,Damaged,2023-08-23,2743.731
930,No Longer Needed,2023-11-05,3533.373
935,Damaged,2022-05-28,1686.645
940,Wrong Item,2024-07-30,1372.77
944,Damaged,2024-12-22,2214.081
946,Wrong Item,2024-12-28,1260.477
948,No Longer Needed,2024-07-14,3001.293
950,No Longer Needed,2023-11-27,2623.059
951,Damaged,2022-11-09,755.0550000000001
954,Damaged,2022-10-18,1634.544
955,Damaged,2022-10-25,1552.0230000000001
957,Wrong Item,2022-04-12,1770.6960000000001
966,Wrong Item,2023-12-31,3225.753
968,Wrong Item,2024-11-28,1936.53
970,Damaged,2024-04-30,3229.074
972,Damaged,2022-11-17,4012.794
974,Damaged,2023-05-07,2563.038
976,Damaged,2022-06-19,2735.424
977,Damaged,2022-06-16,1671.525
985,No Longer Needed,2025-06-07,1966.95
987,Wrong Item,2023-04-15,1167.894
991,No Longer Needed,2023-09-26,3481.1820000000002
994,Damaged,2022-06-18,1484.811
995,No Longer Needed,2022-06-23,2125.494
999,Wrong Item,2024-05-05,2494.197
1001,No Longer Needed,2022-03-19,3245.472
1002,No Longer Needed,2022-03-20,970.416
1004,Damaged,2025-12-20,270.93600000000004
1006,Damaged,2025-12-14,886.464
1010,Damaged,2022-06-17,3002.5170000000003
1016,Damaged,2022-12-11,1118.007
1021,Damaged,2025-09-17,2772.333
1023,No Longer Needed,2025-09-11,1518.8129999999999
1024,Damaged,2022-09-11,3019.527
1025,No Longer Needed,2022-09-14,3176.163
1026,Damaged,2022-09-14,2565.198
1027,Wrong Item,2022-07-06,1606.599
1029,No Longer Needed,2022-07-14,2721.555
1037,Wrong Item,2024-07-09,1594.9350000000002
1041,Wrong Item,2023-11-14,2598.39
1047,Wrong Item,2022-10-29,1962.8100000000002
1049,No Longer Needed,2022-09-19,2326.275
1050,Damaged,2022-09-21,1667.448
1053,No Longer Needed,2025-11-12,2383.956
1061,Damaged,2024-06-16,2578.104
1065,Wrong Item,2025-02-09,1486.0710000000001
1072,Wrong Item,2023-09-19,247.68
1074,No Longer Needed,2022-10-03,2478.366
1076,Wrong Item,2024-10-05,670.635
1077,Wrong Item,2024-10-03,1368.909
1080,No Longer Needed,2024-10-12,3454.7670000000003
1081,Damaged,2024-10-12,620.9730000000001
1085,No Longer Needed,2024-10-07,612.486
1086,No Longer Needed,2022-08-14,3730.5180000000005
1087,No Longer Needed,2022-08-18,632.943
1090,Damaged,2023-11-05,3306.5460000000003
1092,No Longer Needed,2022-12-22,1239.3
1093,Damaged,2024-04-25,1288.566
1097,Damaged,2023-08-10,1076.454
1098,Wrong Item,2024-10-19,521.136
1099,No Longer Needed,2024-11-07,3408.9210000000003
1101,No Longer Needed,2024-11-04,2013.426
1103,Wrong Item,2024-10-22,3581.901
1104,Wrong Item,2024-10-22,778.572
1107,Wrong Item,2024-09-24,3495.618
1109,Damaged,2025-11-30,2405.6369999999997
1117,No Longer Needed,2023-05-11,1298.556
1119,Damaged,2023-11-13,2238.48
1122,Damaged,2022-09-23,1838.799
1124,Wrong Item,2022-10-25,2594.25
1125,No Longer Needed,2025-06-12,471.915
1127,Wrong Item,2025-06-08,3511.6200000000003
1135,No Longer Needed,2022-12-06,1166.391
1137,Wrong Item,2022-12-07,3379.5
1142,No Longer Needed,2025-07-23,1718.388
1153,Damaged,2024-10-19,1404.099
1156,Wrong Item,2024-06-10,492.408
1158,Damaged,2022-09-02,4282.137000000001
1160,Wrong Item,2023-01-30,2248.677
1162,No Longer Needed,2025-09-23,217.413
1163,Wrong Item,2025-09-18,3734.847
1173,Damaged,2023-08-22,3389.427
1174,Wrong Item,2023-08-21,3221.433
1177,No Longer Needed,2025-09-11,2164.0229999999997
1181,No Longer Needed,2025-03-02,283.03200000000004
1187,Damaged,2024-11-14,1801.827
1190,Wrong Item,2024-12-20,3316.761
1194,No Longer Needed,2022-11-21,3155.58
1195,Damaged,2024-11-02,1294.272
1199,No Longer Needed,2024-10-21,1876.455
1201,No Longer Needed,2025-09-09,2694.321
1202,Damaged,2023-12-17,1444.743
1204,Wrong Item,2022-06-13,1963.8
1208,No Longer Needed,2022-10-08,2569.563
1209,No Longer Needed,2022-10-08,402.813
1211,Wrong Item,2022-11-28,477.081
1215,Wrong Item,2023-10-26,3089.133
1218,No Longer Needed,2024-12-15,326.34000000000003
1220,No Longer Needed,2025-12-26,1250.604
1223,Damaged,2022-03-08,3638.4030000000002
1228,Wrong Item,2023-11-10,1831.797
1231,Damaged,2023-10-28,1430.586
1234,No Longer Needed,2022-10-25,3337.407
1235,No Longer Needed,2022-10-25,1058.706
1236,No Longer Needed,2024-11-22,1955.511
1240,Wrong Item,2025-08-01,3369.087
1242,No Longer Needed,2025-10-31,2776.311
1245,No Longer Needed,2022-12-13,895.0500000000001
1250,No Longer Needed,2022-12-28,82.44
1255,Wrong Item,2025-01-08,3245.688
1258,Damaged,2022-06-13,1927.6020000000003
1259,No Longer Needed,2025-10-26,1311.066
1264,Damaged,2022-12-30,737.91
1266,Damaged,2022-05-22,1786.347
1272,Damaged,2023-10-29,1391.7600000000002
1275,Damaged,2022-12-15,2399.247
1276,Wrong Item,2025-06-20,1334.124
1277,Damaged,2022-10-10,2514.51
1279,No Longer Needed,2024-11-03,3519.108
1282,No Longer Needed,2024-11-20,453.996
1283,No Longer Needed,2023-03-18,1273.941
1286,No Longer Needed,2024-10-28,3884.769
1288,Damaged,2024-05-04,2943.963
1289,Wrong Item,2022-11-13,2534.2110000000002
1302,Damaged,2024-01-10,1641.0059999999999
1307,Wrong Item,2024-08-10,2737.008
1310,No Longer Needed,2022-07-25,2056.05
1312,Wrong Item,2024-12-16,4036.608
1314,Damaged,2022-12-12,2441.997
1315,No Longer Needed,2023-01-17,1371.114
1322,No Longer Needed,2024-12-30,1993.0140000000001
1327,No Longer Needed,2023-02-16,688.77
1334,No Longer Needed,2025-11-29,1157.778
1335,Wrong Item,2025-10-10,946.674
1337,No Longer Needed,2022-12-26,1670.121
1338,No Longer Needed,2022-12-28,583.308
1340,Damaged,2025-05-23,1385.2710000000002
1343,No Longer Needed,2023-10-20,3004.497
1344,Wrong Item,2024-10-12,469.044
1345,No Longer Needed,2023-10-19,2554.362
1347,Damaged,2022-09-19,2248.497
1349,No Longer Needed,2024-11-10,1661.7600000000002
1354,Wrong Item,2023-08-26,187.317
1356,Damaged,2025-09-27,2949.597
1357,Wrong Item,2025-09-27,527.283
1358,No Longer Needed,2025-09-26,759.618
1366,Damaged,2024-11-30,674.775
1368,No Longer Needed,2024-04-23,911.718
1369,Wrong Item,2024-04-15,2177.973
1371,No Longer Needed,2022-09-29,3706.9379999999996
1375,Damaged,2023-07-02,2331.729
1378,Damaged,2023-01-15,1548.27
1380,Wrong Item,2022-12-13,1815.5430000000001
1386,Wrong Item,2022-06-28,2408.589
1387,No Longer Needed,2022-06-24,1421.586
1390,No Longer Needed,2025-09-30,3099.8070000000002
1396,Wrong Item,2024-01-14,2808.135
1402,No Longer Needed,2025-04-24,1330.677
1406,Damaged,2025-07-25,1332.441
1408,Wrong Item,2023-07-19,1888.7130000000002
1416,No Longer Needed,2023-12-30,1704.411
1417,Damaged,2023-11-24,641.97
1423,Wrong Item,2022-11-11,934.2719999999999
1424,No Longer Needed,2022-11-14,3393.423
1427,Wrong Item,2025-04-24,1240.5149999999999
1433,Damaged,2025-11-30,1916.6850000000002
1436,No Longer Needed,2026-01-01,3747.582
1437,No Longer Needed,2024-02-24,3212.802
1452,No Longer Needed,2025-10-11,3493.566
1454,No Longer Needed,2024-11-07,974.0070000000001
1458,No Longer Needed,2022-12-05,2003.472
1462,Wrong Item,2022-12-26,2514.951
1463,No Longer Needed,2024-05-15,2881.611
1465,Wrong Item,2022-10-12,2087.955
1467,No Longer Needed,2024-01-25,3942.387
1469,Damaged,2024-07-04,2334.348
1470,Wrong Item,2025-08-24,941.796
1471,Damaged,2025-10-01,4131.036
1476,Wrong Item,2023-12-03,3679.497
1479,No Longer Needed,2022-08-31,2071.0350000000003
1483,No Longer Needed,2024-02-09,1350.855
1485,Wrong Item,2025-11-20,2271.402
1486,Wrong Item,2025-11-16,3090.438
1489,Damaged,2025-10-13,465.435
1496,No Longer Needed,2025-03-02,2795.607
1498,Wrong Item,2022-04-16,3157.092
1500,Damaged,2024-03-19,1458.666
1501,Wrong Item,2023-05-28,2006.865
1504,Wrong Item,2022-07-20,771.192
1505,Damaged,2022-07-20,314.937
1506,No Longer Needed,2023-11-10,1799.883
1507,No Longer Needed,2023-11-17,955.404
1519,Wrong Item,2024-10-06,3063.312
1521,Wrong Item,2023-06-28,1820.745
1522,Damaged,2024-08-30,3686.373
1526,Damaged,2025-08-24,2515.014
1531,Damaged,2024-06-18,170.154
1532,Damaged,2022-09-04,1429.236
1534,Damaged,2022-09-01,670.293
1535,Wrong Item,2022-10-26,149.76000000000002
1536,Damaged,2022-10-21,3247.011
1537,No Longer Needed,2022-10-19,1630.818
1540,No Longer Needed,2025-07-19,3413.88
1542,No Longer Needed,2025-07-10,3549.465
1544,Damaged,2025-02-13,230.31
1546,Wrong Item,2024-09-16,2144.9610000000002
1551,Damaged,2025-10-24,1801.431
1552,Wrong Item,2025-10-29,3361.7520000000004
1558,No Longer Needed,2022-12-12,1436.463
1563,No Longer Needed,2022-05-14,290.682
1564,Damaged,2022-05-19,4035.105
1565,No Longer Needed,2022-05-19,707.103
1567,Damaged,2023-10-30,3549.132
1568,Wrong Item,2023-10-27,2079.864
1569,Wrong Item,2023-10-29,3605.004
1570,Wrong Item,2023-11-06,480.933
1575,Damaged,2024-01-15,2218.554
1579,Damaged,2023-01-22,2507.8140000000003
1586,Wrong Item,2025-12-29,1033.722
1589,Damaged,2024-09-14,2758.32
1592,No Longer Needed,2022-12-27,2455.875
1593,No Longer Needed,2022-12-28,1265.67
1600,Wrong Item,2024-11-03,443.646
1601,Damaged,2024-12-13,745.7220000000001
1604,Damaged,2022-11-01,3351.582
1605,Damaged,2022-11-01,3746.43
1607,No Longer Needed,2022-12-30,2697.714
1609,Damaged,2023-01-03,433.54800000000006
1614,Damaged,2023-10-15,3164.7780000000002
1615,Damaged,2023-10-09,1715.031
1622,Damaged,2023-05-21,1031.022
1623,Damaged,2023-05-21,1789.461
1627,Wrong Item,2022-11-04,468.945
1628,Damaged,2022-11-02,4333.518000000001
1638,No Longer Needed,2023-09-09,1746.234
1644,Wrong Item,2023-10-24,3277.233
1647,Damaged,2024-11-23,1762.911
1649,No Longer Needed,2022-12-17,3689.352
1650,No Longer Needed,2022-12-21,1034.6309999999999
1653,No Longer Needed,2025-08-29,875.592
1656,Damaged,2025-05-21,1170.603
1657,No Longer Needed,2022-12-12,221.13
1658,Wrong Item,2022-12-24,2515.9320000000002
1659,Wrong Item,2022-01-06,3494.205
1660,Wrong Item,2022-01-12,283.70700000000005
1665,Wrong Item,2024-10-28,1733.796
1666,Wrong Item,2025-09-20,3539.547
1668,Damaged,2025-09-21,1611.945
1669,Damaged,2025-12-07,2671.704
1676,No Longer Needed,2022-12-28,809.712
1677,No Longer Needed,2022-12-29,3092.175
1680,Damaged,2024-12-04,2831.229
1681,No Longer Needed,2024-12-01,4086.9180000000006
1683,Wrong Item,2024-12-30,282.348
1686,Wrong Item,2023-12-11,2676.708
1693,No Longer Needed,2023-03-10,3179.034
1694,Wrong Item,2023-03-02,1263.195
1695,No Longer Needed,2023-03-09,1571.796
1696,Wrong Item,2024-12-27,1282.797
1702,No Longer Needed,2024-08-19,1834.794
1703,No Longer Needed,2022-05-16,3023.361
1705,Wrong Item,2025-07-30,620.667
1708,Damaged,2023-12-27,1378.359
1709,Wrong Item,2023-12-14,2693.187
1711,Damaged,2024-10-07,1410.2640000000001
1712,Damaged,2023-07-12,1591.6680000000001
1716,Wrong Item,2024-10-08,3614.7960000000003
1717,Wrong Item,2024-10-10,3190.077
1719,No Longer Needed,2024-08-18,1183.32
1722,Damaged,2024-09-04,2754.1530000000002
1725,Damaged,2025-06-15,1097.6940000000002
1726,Damaged,2025-10-28,2107.548
1728,Damaged,2025-06-24,943.8030000000001
1730,No Longer Needed,2025-04-03,3309.3450000000003
1731,Wrong Item,2025-04-03,4084.38
1734,Wrong Item,2023-01-05,2497.68
1741,No Longer Needed,2023-11-18,923.688
1746,Wrong Item,2025-11-08,753.894
1748,No Longer Needed,2025-11-28,3484.953
1749,No Longer Needed,2024-10-20,937.395
1750,No Longer Needed,2024-10-27,3011.382
1751,No Longer Needed,2024-10-27,634.518
1757,Damaged,2024-09-22,1695.9420000000002
1758,No Longer Needed,2024-09-05,1969.875
1763,Damaged,2023-11-09,948.186
1766,Wrong Item,2023-08-18,3065.904
1774,No Longer Needed,2023-05-29,714.411
1778,Wrong Item,2024-05-05,2768.49
1792,Wrong Item,2023-10-12,3335.2560000000003
1795,Wrong Item,2023-04-23,1627.902
1801,Damaged,2025-08-29,1353.0690000000002
1802,Wrong Item,2025-09-06,3422.4840000000004
1804,Wrong Item,2024-10-12,2986.5420000000004
1809,No Longer Needed,2025-02-19,592.218
1810,Wrong Item,2025-02-11,468.71999999999997
1811,Damaged,2025-02-16,2558.2590000000005
1812,Wrong Item,2025-12-01,4446.0
1814,Wrong Item,2025-11-25,3244.896
1821,No Longer Needed,2023-06-12,1700.6309999999999
1826,Damaged,2024-09-23,3960.522
1827,Damaged,2023-10-26,3437.478
1830,Damaged,2025-01-17,2612.367
1831,Wrong Item,2025-01-15,1668.888
1832,No Longer Needed,2025-01-10,3729.627
1836,Wrong Item,2025-07-31,1382.1480000000001
1839,Wrong Item,2024-06-14,2632.824
1842,Damaged,2025-09-16,3385.3590000000004
1845,No Longer Needed,2024-01-20,483.11999999999995
1846,Damaged,2024-01-16,2410.821
1853,Wrong Item,2023-09-30,526.851
1856,Wrong Item,2022-12-13,1124.901
1857,Wrong Item,2025-10-08,1753.605
1858,Wrong Item,2025-05-21,3592.737
1859,Wrong Item,2025-05-18,2789.19
1860,Damaged,2022-06-25,1456.038
1862,No Longer Needed,2023-10-15,392.193
1864,Wrong Item,2023-10-26,530.541
1865,No Longer Needed,2023-10-29,2859.498
1866,Damaged,2024-02-29,3352.1310000000003
1874,No Longer Needed,2022-12-19,1807.1100000000001
1875,Wrong Item,2023-12-12,2695.842
1876,No Longer Needed,2023-12-14,2612.9610000000002
1877,Damaged,2024-10-09,2443.581
1882,No Longer Needed,2023-04-02,3136.329
1884,No Longer Needed,2023-12-01,2620.539
1886,No Longer Needed,2023-08-27,3950.5409999999997
1888,Damaged,2023-08-20,1466.505
1889,Wrong Item,2022-06-20,4248.621
1890,Wrong Item,2023-04-11,2406.708
1893,Damaged,2025-09-16,971.9010000000001
1894,Wrong Item,2025-09-20,645.642
1895,Wrong Item,2025-09-15,2748.51
1900,Damaged,2023-11-19,3331.5119999999997
1902,Wrong Item,2024-12-30,416.313
1906,No Longer Needed,2022-05-30,669.726
1912,No Longer Needed,2025-05-22,3718.5750000000003
1913,Damaged,2022-11-19,3179.25
1915,No Longer Needed,2023-10-16,3025.593
1917,Wrong Item,2023-11-04,1366.227
1919,Wrong Item,2023-11-03,1402.02
